#名前,HP,力,素早さ,知性,幸運,物理特性,白魔法特性,黒魔法特性,召喚特性,武器種別,ジョブスキル,プレミアムスキル

#限定イベントメモリア
#名前,HP,力,早,知,運,物,白,黒,召,武種,ジョブスキル,プレミアムスキル
パロム,388,65,35,129,29,0.7,1,2,1,ロッド,,
ファング,555,105,89,4,21,1,0.7,0.7,1,槍,,
ウォーリアオブライト,647,126,31,16,31,1,0.7,0.7,1,騎士剣,,
スコール,731,137,26,12,7,1,0.7,0.7,1,騎士剣,,
セルフィ,413,87,34,115,71,1,1.7,2,1,杖,,
エーコ,328,49,20,134,4,0.7,1.7,1,4,杖,,
ティーダ,528,103,71,12,74,1,0.7,0.7,1,剣,,
イザヨイ,437,85,131,28,80,1,0.7,0.7,1,刀,,
ヤ・シュトラ,361,54,87,136,12,0.7,1.7,1,1,杖,,
パパリモ,427,42,16,126,11,0.7,1,2,1,ロッド,,
ガイ,631,135,28,23,1,1,0.7,0.7,1,斧,,
ギルバート,343,73,57,51,46,1,1,1,1,楽器,,
ティナ,402,79,16,125,18,1,1,2,4,剣,,
ティファ,471,113,74,15,99,1,0.7,0.7,1,格闘,,
シド,850,100,34,16,7,1,0.7,0.7,1,槍,,
ラグナ,391,134,18,5,39,1,0.7,0.7,1,銃,,
カイエン,591,112,26,9,84,1,0.7,0.7,1,刀,,
サラマンダー,695,119,82,59,17,1,0.7,0.7,1,格闘,,
アグリアス,553,124,12,76,16,1,1.7,1,1,騎士剣,,
ムスタディオ,405,125,10,6,55,1,0.7,0.7,1,銃,,
クルル,425,47,117,115,24,0.7,1,2,1,ロッド,,
エース,352,119,38,15,85,1,0.7,0.7,1,カード,,
ヴァン,685,127,95,8,10,1,0.7,0.7,1,剣,,
バルフレア,398,129,56,12,10,1,0.7,0.7,1,銃,,
ライトニング(No.119),530,130,50,82,20,1,1.5,1,1,剣,,
セッツァー,555,93,21,7,120,1,0.7,0.7,1,カード,,
ルカ,955,88,4,12,17,1,0.7,0.7,1,斧,,
ジタン,530,100,130,12,17,1,0.7,0.7,1,短剣,,
ビビ,325,40,17,131,33,0.7,1,2,1,杖,,
ユウナ(No.130),415,117,21,112,43,1,1.5,1.7,1,銃,,
フリオニール,557,140,14,8,46,1,0.7,0.7,1,剣,,
ウーマロ,350,178,1,1,10,1,0.7,0.7,1,格闘,,
リディア,305,42,7,139,26,0.7,1,2,4,ロッド,,
カイン,535,101,121,3,11,1,0.7,0.7,1,槍,,
ケット・シー,311,64,77,11,99,1,1,1,1,楽器,,
スノウ,902,111,15,3,48,1,0.7,0.7,1,格闘,,
レフィア,438,90,38,95,54,1,1.7,1,1,杖,,
アルクゥ,405,85,51,109,31,1,1,2,1,ロッド,,
モグ,610,97,21,13,70,1,0.7,0.7,1,槍,,
セーラ,223,51,3,118,145,1,1.7,1,1,楽器,,
ユーリィ,622,118,38,22,65,1,0.7,0.7,1,剣,,
クリルラ,762,93,11,39,25,1,1.5,1,1,騎士剣,,
アヤメ,306,165,5,5,61,1,0.7,0.7,1,刀,,
エアリス,369,40,119,128,108,0.7,1.7,2,1,ロッド,,
ミンフィリア,295,54,50,93,52,0.7,1.5,1.7,1.5,波動,,
ミンウ,402,45,29,152,21,0.7,1.7,1,1,杖,,
ルッソ,586,123,28,91,16,1,1.5,1.5,1.5,剣,,
シェルク,478,129,75,37,3,1,0.7,0.7,1,槍,,
ホープ,329,89,78,138,14,1,1,2,1,投擲,,
マキナ,704,143,16,28,3,1,0.7,0.7,1,剣,,
レム,357,93,98,135,11,1,1.7,2,1,短剣,,
シャドウ,516,127,112,19,40,,,,,刀,,
オルランドゥ,812,110,25,59,30,,,,,騎士剣,,
ローザ,510,70,16,114,95,1,1.7,1,1,弓,,
クイーン,457,101,20,120,82,,,2,1,騎士剣,,
ガラフ,1084,102,17,10,16,,,,,格闘,,
サッズ,779,107,12,5,19,,,,,銃,,
クラウド(No.184),552,114,75,97,34,1,0.7,0.7,1,騎士剣,,
シェルロッタ,371,94,26,107,87,1,1,2,1,波動,,
ナイン,920,93,16,2,32,1,0.7,0.7,1,槍,,
ワッカ,648,96,62,6,41,,,,,投擲,,
オニオンナイト,402,79,105,99,101,,,,,剣,,
