#ユーザが持っているアイテム,,,,,,,,,,,,,,
#更新日：2015/06/21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#武器,,,,,,,,,,,,,,
#大分類,中分類,名前,HP,力,素早さ,知性,幸運,物理防御特性,魔法防御特性,魔法チャージ,魔法効果値,属性,専用アイテムの対象メモリア,個数
魔法,黒魔法,ファイラ,0,0,0,0,0,0,0,49,50,炎,,1 #不要？
魔法,黒魔法,ブリザラ,0,0,0,0,0,0,0,49,50,冷気,,1
魔法,黒魔法,ウォタラ,0,0,0,0,0,0,0,49,50,水,,1
魔法,黒魔法,エアロラ,0,0,0,0,0,0,0,49,50,風,,1
魔法,黒魔法,ファイアRF+3,0,0,20,0,0,0,0,60,52,炎,,1
#召喚魔法,,,,,,,,,,,,,,
魔法,召喚魔法,シルフ,0,0,0,0,0,0,0,110,60,風,,1 #TODO 回復を実装できていない
魔法,召喚魔法,タイタン,0,0,0,0,0,0,0,114,200,地,,1
魔法,召喚魔法,シヴァ,0,0,0,0,0,0,0,64,80,氷,,1
,,,,,,,,,,,,,,
#アクセサリ,,,,,,,,,,,,,,
#大分類,中分類,名前,HP,力,素早さ,知性,幸運,物理防御特性,魔法防御特性,魔法チャージ,魔法効果値,属性,専用アイテムの対象メモリア,個数
アクセサリ,,エスカッション(レア4),0,0,0,0,0,40,0,,,なし,,1
アクセサリ,,司祭のローブ,0,0,0,15,0,15,0,,,なし,,1
アクセサリ,,タフネスリング,10%,0,0,0,0,0,0,,,なし,,1 #不要？
アクセサリ,,ハチマキ,0,10%,0,0,0,0,0,,,なし,,1
アクセサリ,,リストバンド,0,13%,0,0,0,0,0,,,なし,,1
アクセサリ,指輪,炎の指輪,0,0,0,0,0,0,0,,,炎,,1
アクセサリ,指輪,宿炎の指輪,0,20,0,20,0,0,0,,,炎,,1
アクセサリ,指輪,冷気の指輪,0,0,0,0,0,0,0,,,冷気,,1
アクセサリ,指輪,雷の指輪,0,0,0,0,0,0,0,,,雷,,1
アクセサリ,指輪,水の指輪,0,0,0,0,0,0,0,,,水,,1
アクセサリ,指輪,闇の指輪,0,0,0,0,0,0,0,,,闇,,1
アクセサリ,,疾風のかんざし,0,15,15,0,15,0,0,,,なし,,4
アクセサリ,,巨人の小手,10%,10%,0,0,0,0,0,,,なし,,1
アクセサリ,,エクサバックラー+2,0,0,0,0,0,36,21,,,なし,,1
アクセサリ,,エクサイヤリング+1,0,0,28,18,0,0,0,,,なし,,1
アクセサリ,,プラチナアーマー,0,0,-10%,0,0,40,0,,,なし,,1
アクセサリ,,クロスヘルム,0,0,0,0,0,0,30,,,なし,,1
アクセサリ,,チャクラバンド,30,0,0,0,0,0,10,,,なし,,2 #不要？
アクセサリ,,EXコア100%,50,0,0,0,0,20,0,,,なし,,2
アクセサリ,,クリスタルの小手,0,20,20,0,0,0,0,,,なし,,1
アクセサリ,,パワーリスト,0,35,0,0,0,0,0,,,なし,,1
アクセサリ,,ルフェインローブ,0,0,0,35,0,0,0,,,なし,,1
アクセサリ,,ルフェインブーツ,0,0,35,0,0,0,0,,,なし,,1 #不要？
アクセサリ,,SPの腕輪,0,0,0,25,0,30,0,,,なし,,2
アクセサリ,,バルキーコート,80,0,0,0,-15,0,0,,,なし,,1 #不要？
アクセサリ,,赤兎馬のたてがみ(レア3),70,0,0,0,0,0,0,,,なし,,1 #不要？
アクセサリ,,赤兎馬のたてがみ(レア5),100,30,0,0,0,0,0,,,なし,,1
アクセサリ,,マーシャルネイ,0,35%,0,-25%,0,0,0,,,なし,元帥シド,2
